Metadata de Spoonacular - RecipeInformation  ,,,,
,,,,
Sección,Campo,Tipo,Definición,Ejemplo/Valores
Información Básica,id,integer,ID único de la receta.,1045321
,title,string,Nombre o título de la receta.,Chicken Tikka Masala
,image,url,URL a la imagen principal de la receta.,https://.../image.jpg
,servings,integer,Número de porciones que rinde la receta.,4
,ready_in_minutes,integer (min),Tiempo total estimado para preparar la receta.,35
,price_per_serving,integer (cents),"Precio por porción, expresado en centavos/centimos.",349
Información Nutricional y Saludable,health_score,integer (0–100),"Puntuación de salud (a mayor, más saludable).",72
,spoonacular_score,float (0–100),Puntuación general de Spoonacular.,83.5
,calories,integer (kcal/serving),Calorías por porción.,520
Restricciones Dietéticas,dairy_free,boolean,Indica si no contiene lácteos.,true/false
,gluten_free,boolean,Indica si no contiene gluten.,true/false
,vegan,boolean,Indica si es vegana.,true/false
,vegetarian,boolean,Indica si es vegetariana.,true/false
,very_healthy,boolean,Marcador de receta muy saludable.,true/false
,low_fodmap,boolean,Indica si es baja en FODMAPs.,true/false
,sustainable,boolean,Indica si es sostenible.,true/false
,cheap,boolean,Marcador de receta económica.,true/false
Categorías,cuisines,list<string>,Cocinas asociadas a la receta.,"['Indian','Asian']"
,diets,list<string>,Dietas compatibles.,"['gluten free','dairy free']"
,dish_types,list<string>,Tipos de plato.,"['lunch','main course','dinner']"
,occasions,list<string>,Ocasiones o temporadas.,"['fall','winter']"
Ingredientes,extended_ingredients,list<object>,Lista de ingredientes detallados.,ver subcampos
Ingredientes ▸ extended_ingredients,id,integer,ID del ingrediente.,1001
,name,string,Nombre del ingrediente.,butter
,original,string,Descripción original tal como viene en la fuente.,2 tbsp unsalted butter
,amount,float,Cantidad numérica.,2.0
,unit,string,Unidad asociada a la cantidad.,tbsp
,aisle,string,Pasillo o sección del supermercado.,"Milk, Eggs, Other Dairy"
,measures,object,Medidas en sistemas US y métrico.,"{metric:{amount:28.3,unitShort:'g'},us:{...}}"
,meta,list<string>,Información adicional del ingrediente.,"['chopped','fresh']"
Instrucciones,analyzed_instructions,list<object>,Instrucciones desglosadas por pasos.,ver subcampos
Instrucciones ▸ analyzed_instructions,step,string,Descripción del paso.,Marinate the chicken...
,number,integer,Orden del paso.,1
,ingredients,list<object>,Ingredientes usados en el paso.,"[{id:... , name:...}]"
,equipment,list<object>,Equipo necesario para el paso.,"[{id:... , name:...}]"
,length,object,Tiempo estimado del paso.,"{number:15,unit:'minutes'}"
Otros Datos,summary,html/string,Resumen en HTML de la receta.,<p>...</p>
,instructions,html/string,Instrucciones en HTML (sin analizar).,<ol>...</ol>
,wine_pairing,object|null,Sugerencias de maridaje con vino.,"{pairedWines:[...], pairingText:'...'}"
,taste,object|null,Perfil de sabor (si está disponible).,"{sweetness:..., bitterness:...}"
,aggregate_likes,integer,Número de 'me gusta' agregados.,1342
,credits_text,string,Créditos de fuente.,Spoonacular
,source_url,url,URL de la receta original.,https://...
